Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
"Abbey Metal Services, Inc.",814 W. 120th St.,119th/ I-57,02/03/2017,158606.00,72930.00,"masonry repairs at the east elevation (grind out and remove deteriorated brick; tuck pointing as needed; infill window openings with new common brick; remove and replace two pipes that extend from the wall; patch the openings around the pipes; remove and replace sheared brick at southeast corner); furnish and install new glass block windows at the west elevation; and roofing repairs to approx. 20,000 sq. ft. of the lower roof (remove gravel; furnish and install new fiberboard roof insulation, flashings, reinforced termination strip, and TPO roofing membrane)"
"All Weather Specialist, Inc.",214 W. 119th St.,119th/Halsted,02/03/2017,32944.00,23811.75,"completion of project items including framing and drywall, flooring, ceiling tiles, installation of doors, electrical work, plumbing work including installation of fixtures for restrooms, HVAC work including installation of a new furnace, condensing unit, and associated ductwork, tuckpointing and masonry repairs, painting and finishing work"
Some Like It Black Creative Arts Bar,4259 S. Cottage Grove,43rd/Cottage Grove,01/05/2017,26300.00,19725.00,"one (1) double projecting aluminum sign frame (business specific signage expenses not included/eligible); installation of a new aluminum storefront framing system including two (2) bi-folding windows, storefront door, hardware, and finishes; rough and finish plumbing work for the restroom including underground piping, water lines, and fixtures; and architectural services"
"The Property Law Group, LLC ",641 E. Pershing Rd. ,43rd/Cottage Grove,01/17/2017,54964.73,37443.55,"demolition of existing dividing walls and drop ceiling; new framing to construct new walls for the reconfigured offices, installation of drywall, soffit, new doors, trimming, baseboards, and vinyl flooring; plumbing work for new kitchenette area; electrical work including new light fixtures, switches and outlets; painting and finishing work."
Jellybean Learning Center,7411-9 S. Cottage Grove Ave.,87th/Cottage Grove,02/10/2017,72600.00,54450.00,"removal of the existing brick wall and glass block windows at 7411 and installation of a new storefront system including insulated glass windows and new doors; construction of a new brick wall with stone caps between 7411-13; and the installation of a new storefront system for the 7419 unit
"
"Midway Pro Auto, Inc.",4823 W. 63rd St.,Archer/Central,02/02/2017,57150.00,42862.50,"furnish and installed aluminum panels for exterior façade improvements including associated framing and steel expenses; and installation of new lighting fixtures along the north and south wall of the facility with necessary electrical work
"
"Airmarine, Inc.",5638 S. Central Ave.,Archer/Central,02/10/2017,10865.00,8148.75,"roofing repairs, apply coating materials around all roof penetrations, furnish and install new drain insert in the existing roof drain, flash in new drain insert into existing EPDM system, replace steel lintel and a thermal insulated overhead door. "
"Chicago Research Center, Inc.",3401 N. Central Ave.,Belmont/Central,01/24/2017,283589.26,100000.00,"general demolition in connection with the project (west elevation, rear entryway; interior demolition); install new metal and wood façade curtain wall and permanent canopy above front and rear entries; new doors and windows at facade and rear; install new aluminum frames and windows in south elevation and associated masonry; replace existing acoustical ceiling tiles in interior; install new vinyl and carpet flooring in exam rooms and offices; carpentry to install frames and hardware for six (6) new interior doors; painting in connection with interior work; furnish and install new bathroom partitions; furnish and install new ceramic tile for bathroom walls and floors; plumbing for four (4) new sinks and faucets in exam rooms; install interior pass through window; install new electrical box in conference room; and renovations to existing HVAC duct work to accommodate new layout"
"Revive Skin Care & Medspa, LLC ",4860 N. Clark St. ,Clark/Montrose,01/13/2017,79333.00,50000.00,"constructing new walls with steel framing, spray foam insulation, new drywall, plumbing system including removal of existing concrete slab, provide new connections to existing underground piping, concrete repairs as needed, furnish and install drains and vents for all sinks and toilet; furnish and install an HVAC system (with associated duct work, venting, and wiring); electrical work including rewiring for recessed can lighting, switches, and outlets"
"TriWU Property Management, LLC",2535 W. North Ave.,Humboldt Park,02/07/2017,100640.00,75480.00,"masonry repairs to the rear portion of the building (reconstruct the exterior brick and lintels on three elevations of the rear portion of the building to convert this part of the building to garage functionality for the commercial tenant); furnish and install new 200 amp electrical service in rear portion; construct an ADA-compliant bathroom in the Maplewood Avenue-facing commercial tenant space (rough plumbing; furnish and install commercial grade lavatory and toilet; install mop sink; furnish and install grab bars; install FRP on walls; install vinyl cove base); furnish and install approx 1,000 sq. ft. of new hardwood flooring for the Maplewood Avenue-facing commercial tenant space; and furnish and install new security doors at rear first floor elevation"
Latin United Community Housing Association (LUCHA),3541 W. North Ave.,Humboldt Park,02/13/2017,97067.00,71675.25,"roof tear off and replacement including repairs to decking as needed, insulation, and a modified bitumen membrane with new flashings and termination bars; tuckpointing work over approximately 500 SF of exterior brick including repairs to glass block windows (chimney repair work not eligible); removal of exterior siding on rear of building and replacement to seal building from water penetration; drywall replacement and framing repairs with new insulation in rear office space; HVAC work including replacement of existing rooftop units; installation of panels to walls and ceilings around office areas to repair areas damaged by water penetration and for improved insulation; flooring repairs including replacement of existing damaged hardwood over 200 SF in office space and repairs to concrete floor in rear; painting and finishing work throughout and soft costs"
"AG Neverias, LLC dba Chelita's Homemade Ice Cream",4442A N. Milwaukee Ave.,Jefferson Park,02/03/2017,33000.00,24750.00,"a kitchen and service area build-out including installation of a partition wall with a glass window to separate both area, installation of a new hand sink and 3 compartment sink, new circuit breakers and light fixtures, new piping to connect to main waste line, necessary plumbing work for the second restroom along with new fixtures, and the installation of new ductwork and insulation for exhaust fans"
